Surname Unicode,Surname Ascii,Gender,Origin,Meaning(s),Tag(s)
Abbas,abbas,Male,Arabic,Austere|Sober,#Celebrity|#Surname
Abbott,abbott,Male,English,Head Of A Monastery,#Occupational|#Surname
Abelard,abelard,Male,French,Brave|Noble,#Surname
Abercrombie,abercrombie,Neutral,Scottish,Bend In Marshy Ground,#Surname
Abraham,abraham,Male,Hebrew,Father Of Nations,#Biblical|#Politician|#Surname
Abram,abram,Male,Hebrew,High Father,#Surname
Acciai,acciai,Male,Italian,Axe Man,#Surname
Acevedo,acevedo,Neutral,Spanish,Grove Of Holly Trees,#Surname
Acosta,acosta,Neutral,Spanish,From The Coast,#Surname
Acton,acton,Male,English,From The Oak Tree Settlement,#Surname
Adagio,adagio,Male,Italian,Slowly,#Surname
Adair,adair,Neutral,English,Fortune/Spear,#Surname
Adams,adams,Neutral,English,Family Of Adam,#Surname
Adkins,adkins,Neutral,English,Family Of Adam,#Surname
Adler,adler,Neutral,German,Eagle,#Surname
Affleck,affleck,Male,Scottish,From Auchinleck|Scotland,#Celebrity|#Surname
Aguilar,aguilar,Neutral,Spanish,Eagle,#Surname
Aguirre,aguirre,Neutral,Spanish,From A Prominent Place,#Surname
Ahmed,ahmed,Male,Arabic,Praiseworthy|Commendable,#Surname
Airlia,airlia,Female,Scottish,Eagle Wood,#Place|#Surname
Airlie,airlie,Neutral,Scottish,Eagle Wood,#Place|#Surname
Albrecht,albrecht,Male,German,Noble|Bright,#Surname
Alden,alden,Male,English,Half Danish,#Surname
Alexander,alexander,Male,Greek,Defender Of The People,#Biblical|#Politician|#Royal|#Surname
Ali,ali,Neutral,Arabic,Noble|Exalted,#Sports|#Surname
Allen,allen,Male,English,Little Rock,#Surname
Allison,allison,Neutral,German,Noble One,#Celebrity|#Surname
Almeda,almeda,Female,Spanish,Poplar Grove,#Surname
Alphonse,alphonse,Male,French,Noble And Ready,#FictionalCharacter|#Surname
Alvarado,alvarado,Female,Spanish,From The White/Bright Land,#Surname
Alvarez,alvarez,Male,Spanish,Son Of Alvaro,#Surname
Amabel,amabel,Female,English,Lovable,#Surname
Amabilis,amabilis,Neutral,Latin,Lovable,#Surname
Amato,amato,Male,Spanish,Loved,#Surname
Ambel,ambel,Neutral,Latin,Lovable,#Surname
Ambrosi,ambrosi,Neutral,Italian,Family Of Ambrogio,#Surname
Amery,amery,Female,English,Work Rule,#Surname
Anakin,anakin,Male,American,Warrior,#FictionalCharacter|#Surname
Anderson,anderson,Male,English,Son Of Andrew,#Celebrity|#Surname
Andolina,andolina,Female,Italian,Unknown,#Surname
Andrade,andrade,Neutral,Spanish,From San Martino De Andrade,#Surname
Aniston,aniston,Neutral,American,Unknown,#Celebrity|#Surname
